crime,crime,10
tony,tony,10
jenyns,jenyns,10
howe,lovelace,10
lady,concern,10
lovelace,uncle,10
person,friend,10
solmes,thing,10
madam,solmes,10
goody,goody,10
wretch,brother,10
hickman,lovelace,10
miss,particular,10
mother,lovick,10
smith,sister,10
consequence,consequence,10
mamma,heart,10
treaty,uncle,10
treaty,antony,10
niece,uncle,10
niece,antony,10
lord,antony,10
aunt,friend,10
sun,miss,10
sun,howe,10
closet,miss,10
closet,howe,10
cousin,aunt,10
tragedy,tragedy,10
lady,speed,10
tomlinson,lady,10
beelzebub,beelzebub,10
lady,key,10
smith,glove,10
smith,andrew,10
scholar,smith,10
father,lady,10
smith,hour,10
letter,lovick,10
letter,proof,10
art,lovelace,10
dolly,brother,10
aunt,child,10
morden,term,10
family,effect,10
johnny,barton,10
barton,johnny,10
betty,parent,10
note,kin,10
cause,kin,10
men,lovelace,10
equipp,dorcas,10
remembrest,remembrest,10
howe,difficulty,9
thou,thyself,9
weakness,weakness,9
education,education,9
reflection,reflection,9
terror,terror,9
lord,person,9
m,letter,9
m,thing,9
sister,family,9
lady,death,9
lady,answer,9
miss,hand,9
miss,reason,9
visit,visit,9
madam,brother,9
harlowe,house,9
brother,uncle,9
hickman,lady,9
lady,hickman,9
concern,concern,9
lady,creature,9
harlowe,gentleman,9
lord,betty,9
harlowe,account,9
harlowe,part,9
presence,presence,9
ceremony,ceremony,9
lovelace,resolution,9
doleman,doleman,9
death,death,9
modesty,modesty,9
william,william,9
howe,harlowe,9
distress,distress,9
appearance,appearance,9
thought,thought,9
father,thing,9
sight,sight,9
parson,parson,9
lady,world,9
lady,matter,9
lovelace,nothing,9
curse,curse,9
lady,merit,9
lord,harlowe,9
lovelace,advantage,9
aunt,family,9
brother,thing,9
innocent,innocent,9
earth,earth,9
aunt,sister,9
miss,dolly,9
hervey,niece,9
lady,son,9
betty,sister,9
readier,readier,9
remorse,remorse,9
hervey,sister,9
mine,mine,9
sinclair,niece,9
sun,sun,9
uncle,brother,9
attempt,attempt,9
brother,heart,9
uncle,favour,9
lovelace,men,9
lady,hour,9
person,value,9
person,thing,9
wilt,thou,9
fellow,horse,9
wilson,wilson,9
life,lovelace,9
informant,informant,9
lady,cloaths,9
freedom,freedom,9
lovelace,one,9
lovelace,body,9
hickman,effect,9
miss,part,9
lady,lodging,9
difficulty,difficulty,9
boy,mother,9
lady,nothing,9
doctor,friend,9
fault,fault,9
state,state,9
lip,lip,9
god,time,9
hand,friend,9
lovelace,father,9
solmes,spirit,9
mamma,papa,9
miss,case,9
dorcas,fellow,9
thou,heart,9
lovick,kind,9
smith,mother,9
morden,miss,9
morden,howe,9
thou,fellow,9
sickness,affliction,9
affliction,sickness,9
affliction,affliction,9
calamity,sickness,9
calamity,affliction,9
lovelace,favour,9
thing,lovelace,9
absence,absence,9
john,esq,9
harlowe,esq,9
howe,thing,9
honner,honner,9
lady,lincoln,9
lady,dwelling,9
smith,house,9
captain,harlowe,9
husband,copy,9
husband,john,9
husband,harlowe,9
aunt,cousin,9
barton,barton,9
mother,johnny,9
sister,anger,9
captain,error,9
tomlinson,error,9
dog,whore,9
dog,bird,9
dorcas,uncle,9
moore,miss,9
lovelace,air,8
lady,night,8
aunt,character,8
method,method,8
lovelace,address,8
lesson,lesson,8
lord,cousin,8
m,person,8
person,lady,8
side,side,8
revenge,revenge,8
project,project,8
line,letter,8
friendship,friendship,8
agent,agent,8
lady,opinion,8
howe,reason,8
hervey,solmes,8
piece,piece,8
assurance,assurance,8
colonel,miss,8
harlowe,regard,8
morden,family,8
father,family,8
harlowe,howe,8
gentleman,lovelace,8
almighty,almighty,8
thou,time,8
john,reconciliation,8
lady,uncle,8
uncle,gentleman,8
m,betty,8
lady,sarah,8
sarah,lady,8
settlement,lord,8
settlement,m,8
lady,town,8
sort,sort,8
friend,step,8
hour,virtue,8
conversation,virtue,8
dorcas,lovelace,8
experience,experience,8
miss,one,8
stranger,stranger,8
hickman,time,8
sister,letter,8
sister,father,8
martin,martin,8
letter,account,8
mightest,mightest,8
lady,sake,8
his,lady,8
lady,treatment,8
lady,order,8
lovelace,occasion,8
principle,principle,8
lady,resolution,8
miss,mind,8
lady,lovick,8
lady,smith,8
lady,life,8
brand,lady,8
husband,brand,8
dearest,dearest,8
letter,deal,8
behaviour,behaviour,8
turn,turn,8
hervey,miss,8
antony,john,8
lovelace,word,8
thro,thro,8
saucy,saucy,8
eye,heart,8
dorcas,subject,8
advantage,advantage,8
mother,story,8
methinks,methinks,8
lady,niece,8
lady,company,8
reverence,reverence,8
lady,age,8
lovelace,part,8
lovelace,lodging,8
life,argument,8
uneasiness,argument,8
regret,argument,8
half,argument,8
nor,argument,8
miss,sex,8
lovelace,particular,8
harlowe,affair,8
howe,spouse,8
lady,quality,8
cousin,miss,8
hickman,mother,8
choice,lovelace,8
condition,lovelace,8
doctor,lady,8
dorcas,creature,8
lady,hole,8
don,thing,8
goddard,goddard,8
distance,distance,8
solmes,generosity,8
one,spirit,8
solmes,family,8
miss,world,8
thing,wife,8
agent,mother,8
triumph,triumph,8
montague,cousin,8
mother,heart,8
lady,opportunity,8
heart,thou,8
niceness,niceness,8
joseph,lady,8
england,england,8
smith,clergyman,8
lovelace,way,8
harlowe,brother,8
brother,interest,8
smith,widow,8
smith,relation,8
mother,effect,8
john,uncle,8
brother,lodging,8
thing,lady,8
lady,right,8
she,she,8
oliver,oliver,8
sickness,calamity,8
affliction,calamity,8
madam,hand,8
rowland,apothecary,8
mightst,mightst,8
katharine,katharine,8
mother,hickman,8
friend,favour,8
uncle,father,8
john,father,8
loss,loss,8
sister,antony,8
child,norton,8
aunt,howe,8
josephus,josephus,8
tragedy,men,8
self,mind,8
gentleman,kind,8
gentleman,assurance,8
lady,field,8
lady,muslin,8
lady,cambricks,8
lady,work,8
lady,wheel,8
lady,h,8
beelzebub,call,8
trader,trader,8
lady,executorship,8
lady,pain,8
smith,farmer,8
smith,coachman,8
widow,money,8
affection,affection,8
lovelace,question,8
papa,mamma,8
family,grief,8
sister,bella,8
captain,john,8
letter,copy,8
letter,one,8
rawlins,story,8
lady,tomlinson,8
lord,people,8
tea,taste,8
dish,taste,8
james,estate,8
executor,cousin,8
altho,executor,8
pride,solmes,8
one,love,8
madam,daughter,8
examination,captain,8
examination,tomlinson,8
punisher,captain,8
punisher,tomlinson,8
dog,stammering,8
sinclair,dorcas,8
kitty,miss,8
dorcas,way,8
lovelace,belford,8
the,lady,8
rowe,rowe,8
calista,calista,8
hannah,treatment,8
part,treatment,8
dorcas,magistrate,8
dear,captain,8
captain,dear,8
family,thou,8
harlowes,thou,8
machine,thou,8
vengeance,vengeance,7
letter,mother,7
miss,difficulty,7
colonel,day,7
the,the,7
brother,college,7
belford,mind,7
belford,lovelace,7
youth,youth,7
scene,scene,7
m,cousin,7
nor,nor,7
uncle,time,7
heart,men,7
norton,lady,7
fellow,letter,7
heart,thing,7
lady,head,7
talent,talent,7
howe,hand,7
men,howe,7
miss,account,7
solmes,father,7
grandfather,family,7
madam,favour,7
request,request,7
madam,child,7
miss,creature,7
gentleman,matter,7
gentleman,harlowe,7
belford,time,7
uncle,john,7
compliance,compliance,7
howe,person,7
howe,house,7
conversation,conversation,7
miss,character,7
sister,friend,7
sister,interest,7
friend,honour,7
betty,uncle,7
child,parent,7
advice,advice,7
lady,norton,7
dorcas,hand,7
service,service,7
thou,mind,7
lady,rest,7
charmer,moore,7
goodness,goodness,7
father,order,7
reconciliation,reconciliation,7
bosom,bosom,7
room,room,7
expostulation,expostulation,7
um,um,7
cousin,lord,7
pr,pr,7
lady,word,7
lovelace,order,7
body,miss,7
harlowe,daughter,7
cousin,friend,7
comfort,comfort,7
harlowe,word,7
smith,letter,7
mistress,house,7
house,mistress,7
lady,parent,7
lady,people,7
maker,maker,7
lovelace,visit,7
brother,violence,7
letter,hand,7
tourville,mowbray,7
thou,belton,7
thou,thee,7
friend,heart,7
son,father,7
son,estate,7
son,james,7
harlowe,dolly,7
belford,cousin,7
friend,cousin,7
daughter,will,7
harlowes,harlowes,7
lawrance,lawrance,7
prince,prince,7
mennell,fretchville,7
look,look,7
jack,lovelace,7
accident,accident,7
dignity,dignity,7
person,heart,7
lady,secret,7
thou,hand,7
mother,son,7
varlet,varlet,7
lord,nephew,7
return,return,7
aunt,son,7
antony,thing,7
servant,dorcas,7
uncle,lady,7
aunt,lady,7
lord,sister,7
tomlinson,uncle,7
thou,art,7
miss,moore,7
rawlins,moore,7
miss,effect,7
harlowe,effect,7
miss,gentleman,7
sinclair,nymph,7
betty,barnes,7
barnes,betty,7
harlowe,estate,7
hickman,world,7
messenger,lady,7
dorcas,door,7
miss,nothing,7
politeness,politeness,7
smith,friend,7
sarmatians,slave,7
lady,something,7
singleton,harlowe,7
dorcas,time,7
dear,harlowe,7
m,harlowe,7
folly,folly,7
person,child,7
father,curse,7
physician,physician,7
mamma,nothing,7
mamma,girl,7
fit,fit,7
lady,truth,7
intelligence,intelligence,7
mother,sister,7
lady,chair,7
betty,lovelace,7
father,uncle,7
friend,relation,7
secret,snare,7
mother,thing,7
scheme,scheme,7
miss,occasion,7
solmes,lovelace,7
money,money,7
cousin,visit,7
world,lady,7
uncle,mamma,7
lovick,displeasure,7
chairman,chairman,7
hereupon,hereupon,7
hickman,belford,7
